report_name,drive_createdTime,drive_modifiedTime,md5Checksum,0,1,2,3,4,5,6,7,8,9
[exporttegus@gmail.com] 2026-02-25T13-59 Boletin Estadistico Comercialización 25-02-2026,2026-02-25T19:04:47.653Z,2026-02-25T18:59:00.000Z,d240f4565497f48f46ed1d1f218e570b,OCTUBRE,"22,580.24","4,808,967.11 2",12.97,"39,067.70","1 3,874,888.81",3 55.15,"16,487.46","$9,065,921.70",73.0%
[exporttegus@gmail.com] 2026-02-25T13-59 Boletin Estadistico Comercialización 25-02-2026,2026-02-25T19:04:47.653Z,2026-02-25T18:59:00.000Z,d240f4565497f48f46ed1d1f218e570b,NOVIEMBRE,"37,542.48","7,442,328.46 1",98.24,"78,552.64","2 7,896,738.42",3 55.13,"41,010.16","$20,454,409.96",109.2%
[exporttegus@gmail.com] 2026-02-25T13-59 Boletin Estadistico Comercialización 25-02-2026,2026-02-25T19:04:47.653Z,2026-02-25T18:59:00.000Z,d240f4565497f48f46ed1d1f218e570b,DICIEMBRE,"112,511.46","30,925,850.98 2",74.87,"354,406.65","132,780,199.63",3 74.65,"241,895.19","$101,854,348.65",215.0%
[exporttegus@gmail.com] 2026-02-25T13-59 Boletin Estadistico Comercialización 25-02-2026,2026-02-25T19:04:47.653Z,2026-02-25T18:59:00.000Z,d240f4565497f48f46ed1d1f218e570b,ENERO*,"477,448.62","148,764,281.43 3",11.58,"988,128.25","356,101,379.11",3 60.38,"510,679.63","$207,337,097.68",107.0%
[exporttegus@gmail.com] 2026-02-25T13-59 Boletin Estadistico Comercialización 25-02-2026,2026-02-25T19:04:47.653Z,2026-02-25T18:59:00.000Z,d240f4565497f48f46ed1d1f218e570b,FEBRERO*,"790,596.78","271,547,337.20 3",43.47,"1,313,769.69","451,506,261.02",3 43.67,"523,172.91","$179,958,923.82",66.2%
[exporttegus@gmail.com] 2026-02-25T13-59 Boletin Estadistico Comercialización 25-02-2026,2026-02-25T19:04:47.653Z,2026-02-25T18:59:00.000Z,d240f4565497f48f46ed1d1f218e570b,MARZO,"1,059,744.42","386,487,203.63 3",64.70,,,#¡DIV/0!,,,0.0%
[exporttegus@gmail.com] 2026-02-25T13-59 Boletin Estadistico Comercialización 25-02-2026,2026-02-25T19:04:47.653Z,2026-02-25T18:59:00.000Z,d240f4565497f48f46ed1d1f218e570b,ABRIL,"719,682.38","270,698,674.65 3",76.14,,,#¡DIV/0!,,,0.0%
[exporttegus@gmail.com] 2026-02-25T13-59 Boletin Estadistico Comercialización 25-02-2026,2026-02-25T19:04:47.653Z,2026-02-25T18:59:00.000Z,d240f4565497f48f46ed1d1f218e570b,MAYO,"993,955.90","368,883,908.53 3",71.13,,,#¡DIV/0!,,,0.0%
[exporttegus@gmail.com] 2026-02-25T13-59 Boletin Estadistico Comercialización 25-02-2026,2026-02-25T19:04:47.653Z,2026-02-25T18:59:00.000Z,d240f4565497f48f46ed1d1f218e570b,JUNIO,"835,895.82","305,608,467.41 3",65.61,,,#¡DIV/0!,,,0.0%
[exporttegus@gmail.com] 2026-02-25T13-59 Boletin Estadistico Comercialización 25-02-2026,2026-02-25T19:04:47.653Z,2026-02-25T18:59:00.000Z,d240f4565497f48f46ed1d1f218e570b,JULIO,"598,328.08","207,482,055.79 3",46.77,,,#¡DIV/0!,,,0.0%
[exporttegus@gmail.com] 2026-02-25T13-59 Boletin Estadistico Comercialización 25-02-2026,2026-02-25T19:04:47.653Z,2026-02-25T18:59:00.000Z,d240f4565497f48f46ed1d1f218e570b,AGOSTO,"250,780.62","79,115,994.46 3",15.48,,,#¡DIV/0!,,,0.0%
[exporttegus@gmail.com] 2026-02-25T13-59 Boletin Estadistico Comercialización 25-02-2026,2026-02-25T19:04:47.653Z,2026-02-25T18:59:00.000Z,d240f4565497f48f46ed1d1f218e570b,SEPTIEMBRE,"218,246.33","66,257,690.60 3",03.59,,,#¡DIV/0!,,,0.0%
2026-02-25T13-59 [exporttegus@gmail.com] Boletín Estadístico IHCAFE al 25 de Febrero de 2026,2026-02-25T19:02:12.380Z,2026-02-25T13:59:36.000Z,1c2c0ae8f6dade88198b46f211a5264f,OCTUBRE,"22,580.24","4,808,967.11 2",12.97,"39,067.70","1 3,874,888.81",3 55.15,"16,487.46","$9,065,921.70",73.0%
2026-02-25T13-59 [exporttegus@gmail.com] Boletín Estadístico IHCAFE al 25 de Febrero de 2026,2026-02-25T19:02:12.380Z,2026-02-25T13:59:36.000Z,1c2c0ae8f6dade88198b46f211a5264f,NOVIEMBRE,"37,542.48","7,442,328.46 1",98.24,"78,552.64","2 7,896,738.42",3 55.13,"41,010.16","$20,454,409.96",109.2%
2026-02-25T13-59 [exporttegus@gmail.com] Boletín Estadístico IHCAFE al 25 de Febrero de 2026,2026-02-25T19:02:12.380Z,2026-02-25T13:59:36.000Z,1c2c0ae8f6dade88198b46f211a5264f,DICIEMBRE,"112,511.46","30,925,850.98 2",74.87,"354,406.65","132,780,199.63",3 74.65,"241,895.19","$101,854,348.65",215.0%
2026-02-25T13-59 [exporttegus@gmail.com] Boletín Estadístico IHCAFE al 25 de Febrero de 2026,2026-02-25T19:02:12.380Z,2026-02-25T13:59:36.000Z,1c2c0ae8f6dade88198b46f211a5264f,ENERO*,"477,448.62","148,764,281.43 3",11.58,"988,128.25","356,101,379.11",3 60.38,"510,679.63","$207,337,097.68",107.0%
2026-02-25T13-59 [exporttegus@gmail.com] Boletín Estadístico IHCAFE al 25 de Febrero de 2026,2026-02-25T19:02:12.380Z,2026-02-25T13:59:36.000Z,1c2c0ae8f6dade88198b46f211a5264f,FEBRERO*,"790,596.78","271,547,337.20 3",43.47,"1,313,769.69","451,506,261.02",3 43.67,"523,172.91","$179,958,923.82",66.2%
2026-02-25T13-59 [exporttegus@gmail.com] Boletín Estadístico IHCAFE al 25 de Febrero de 2026,2026-02-25T19:02:12.380Z,2026-02-25T13:59:36.000Z,1c2c0ae8f6dade88198b46f211a5264f,MARZO,"1,059,744.42","386,487,203.63 3",64.70,,,#¡DIV/0!,,,0.0%
2026-02-25T13-59 [exporttegus@gmail.com] Boletín Estadístico IHCAFE al 25 de Febrero de 2026,2026-02-25T19:02:12.380Z,2026-02-25T13:59:36.000Z,1c2c0ae8f6dade88198b46f211a5264f,ABRIL,"719,682.38","270,698,674.65 3",76.14,,,#¡DIV/0!,,,0.0%
2026-02-25T13-59 [exporttegus@gmail.com] Boletín Estadístico IHCAFE al 25 de Febrero de 2026,2026-02-25T19:02:12.380Z,2026-02-25T13:59:36.000Z,1c2c0ae8f6dade88198b46f211a5264f,MAYO,"993,955.90","368,883,908.53 3",71.13,,,#¡DIV/0!,,,0.0%
2026-02-25T13-59 [exporttegus@gmail.com] Boletín Estadístico IHCAFE al 25 de Febrero de 2026,2026-02-25T19:02:12.380Z,2026-02-25T13:59:36.000Z,1c2c0ae8f6dade88198b46f211a5264f,JUNIO,"835,895.82","305,608,467.41 3",65.61,,,#¡DIV/0!,,,0.0%
2026-02-25T13-59 [exporttegus@gmail.com] Boletín Estadístico IHCAFE al 25 de Febrero de 2026,2026-02-25T19:02:12.380Z,2026-02-25T13:59:36.000Z,1c2c0ae8f6dade88198b46f211a5264f,JULIO,"598,328.08","207,482,055.79 3",46.77,,,#¡DIV/0!,,,0.0%
2026-02-25T13-59 [exporttegus@gmail.com] Boletín Estadístico IHCAFE al 25 de Febrero de 2026,2026-02-25T19:02:12.380Z,2026-02-25T13:59:36.000Z,1c2c0ae8f6dade88198b46f211a5264f,AGOSTO,"250,780.62","79,115,994.46 3",15.48,,,#¡DIV/0!,,,0.0%
2026-02-25T13-59 [exporttegus@gmail.com] Boletín Estadístico IHCAFE al 25 de Febrero de 2026,2026-02-25T19:02:12.380Z,2026-02-25T13:59:36.000Z,1c2c0ae8f6dade88198b46f211a5264f,SEPTIEMBRE,"218,246.33","66,257,690.60 3",03.59,,,#¡DIV/0!,,,0.0%
[exporttegus@gmail.com] 2026-02-24T14-12 Boletin Estadistico Comercialización 24-02-2026,2026-02-24T19:17:49.385Z,2026-02-24T19:12:00.000Z,0f705dd62e461ed2369c6403a9a5d730,OCTUBRE,"22,580.24","4,808,967.11 2",12.97,"39,067.70","1 3,874,888.81",3 55.15,"16,487.46","$9,065,921.70",73.0%
[exporttegus@gmail.com] 2026-02-24T14-12 Boletin Estadistico Comercialización 24-02-2026,2026-02-24T19:17:49.385Z,2026-02-24T19:12:00.000Z,0f705dd62e461ed2369c6403a9a5d730,NOVIEMBRE,"37,542.48","7,442,328.46 1",98.24,"78,552.64","2 7,896,738.42",3 55.13,"41,010.16","$20,454,409.96",109.2%
[exporttegus@gmail.com] 2026-02-24T14-12 Boletin Estadistico Comercialización 24-02-2026,2026-02-24T19:17:49.385Z,2026-02-24T19:12:00.000Z,0f705dd62e461ed2369c6403a9a5d730,DICIEMBRE,"112,511.46","30,925,850.98 2",74.87,"354,406.65","132,780,199.63",3 74.65,"241,895.19","$101,854,348.65",215.0%
[exporttegus@gmail.com] 2026-02-24T14-12 Boletin Estadistico Comercialización 24-02-2026,2026-02-24T19:17:49.385Z,2026-02-24T19:12:00.000Z,0f705dd62e461ed2369c6403a9a5d730,ENERO*,"477,448.62","148,764,281.43 3",11.58,"988,128.25","356,101,379.11",3 60.38,"510,679.63","$207,337,097.68",107.0%
[exporttegus@gmail.com] 2026-02-24T14-12 Boletin Estadistico Comercialización 24-02-2026,2026-02-24T19:17:49.385Z,2026-02-24T19:12:00.000Z,0f705dd62e461ed2369c6403a9a5d730,FEBRERO*,"790,596.78","271,547,337.20 3",43.47,"1,231,219.18","425,146,544.83",3 45.31,"440,622.40","$153,599,207.63",55.7%
[exporttegus@gmail.com] 2026-02-24T14-12 Boletin Estadistico Comercialización 24-02-2026,2026-02-24T19:17:49.385Z,2026-02-24T19:12:00.000Z,0f705dd62e461ed2369c6403a9a5d730,MARZO,"1,059,744.42","386,487,203.63 3",64.70,,,#¡DIV/0!,,,0.0%
